,x,y,z,index
0,523287.32,4779588.315,1415.163,0
1,523364.669,4779587.901,1413.091,1
2,523347.101,4779571.386,1415.006,2
3,523292.471,4779530.766,1418.415,3
4,523261.446,4779532.147,1419.369,4
5,523329.469,4779525.61,1418.344,5
6,523363.86,4779530.064,1417.596,6
7,523394.301,4779529.544,1416.107,7
8,523369.977,4779471.1,1421.252,8
9,523350.138,4779492.353,1420.525,9
10,523309.664,4779492.732,1422.093,10
11,523289.035,4779469.338,1424.498,11
12,523280.395,4779432.804,1428.213,12
13,523313.421,4779420.761,1429.846,13
14,523305.912,4779572.552,1415.164,14
