,OBJNAME,lat,lon,ele
0,118,43.1427649566,-116.735666171,1627.93080193
1,119,43.1426938623,-116.736663217,1624.51925504
2,124,43.1429158537,-116.736378177,1624.78590773
3,122,43.1432620334,-116.736229766,1622.69340468
4,121,43.1432779659,-116.736644667,1621.83251967
5,129,43.1432789381,-116.736974884,1621.11624833
6,130,43.1437807419,-116.736703848,1617.47886293
7,127,43.1436334294,-116.736429332,1620.51189681
8,125,43.1436580023,-116.735940755,1621.05952112
9,126,43.1437749948,-116.735723517,1619.77563983
10,120,43.1434246554,-116.735514407,1621.82362685
11,123,43.1432793717,-116.735281503,1622.3881378
12,128,43.1429119908,-116.735931868,1626.68635956
